Mon 27 Nov 2017 17:08:30 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:08:43 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:08:48 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:08:55 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:08:56 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:04 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:10 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:12 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 99
Mon 27 Nov 2017 17:09:12 rest_api get_users_lookup 15440 Thread-1 [line:142] INFO failed id: [262919466]
Mon 27 Nov 2017 17:09:17 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:30 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:30 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:30 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:33 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:36 TwitterError __init__ 15440 Thread-1 [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='api.twitter.com', port=443): Max retries exceeded with url: /1.1/users/lookup.json (Caused by ProxyError('Cannot connect to proxy.', timeout('timed out',)))
Mon 27 Nov 2017 17:09:36 rest_api get_users_lookup 15440 Thread-1 [line:120] ERROR HTTPSConnectionPool(host='api.twitter.com', port=443): Max retries exceeded with url: /1.1/users/lookup.json (Caused by ProxyError('Cannot connect to proxy.', timeout('timed out',)))
Mon 27 Nov 2017 17:09:47 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:48 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:09:58 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:02 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:04 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:13 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:15 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:21 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:22 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
